index,category,sub_category,brand,sale_price,market_price
6437,Beauty & Hygiene,Hair Care,Parachute ,204.25,215
6438,"Kitchen, Garden & Pets",Cookware & Non Stick,Prestige,1549,1815
6439,Gourmet & World Food,Dairy & Cheese,Fresho Signature,516.6,574
6440,Snacks & Branded Foods,Snacks & Namkeen,Balaji foods,70,70
6441,Beauty & Hygiene,Bath & Hand Wash,Lever Ayush,180,180
6442,Cleaning & Household,Stationery,Omega,87,88
6443,Fruits & Vegetables,Herbs & Seasonings,Fresho,24,30
6444,Gourmet & World Food,Cooking & Baking Needs,Cafe Junyali,540,540
6445,"Kitchen, Garden & Pets",Storage & Accessories,Asian,259,409
6446,Baby Care,Baby Bath & Hygiene,Mamaearth,349,349
